TaskID,Method,Developer_Experience,Task_Complexity,Time_Taken_Min,Bugs_Found,Code_Quality_Score,Satisfaction_Score,Lines_of_Code,Debugging_Time_Min
33,Vibe Coding,Intermediate,High,45.9,9,5.2,7.8,93,42.8
34,Hardcoding,Beginner,Medium,58.8,2,5.6,8.8,125,19.2
35,Vibe Coding,Intermediate,Medium,30.8,2,7.1,8.4,43,8.4
36,Hardcoding,Expert,Low,21.2,3,8.1,8.5,87,13.1
37,Vibe Coding,Intermediate,Medium,35.8,3,5.9,4.9,63,15.5
38,Vibe Coding,Beginner,Medium,36.6,8,5.9,8.0,73,40.7
39,Hardcoding,Expert,High,46.5,3,7.4,7.2,127,12.4
40,Vibe Coding,Intermediate,Medium,32.8,1,7.7,5.3,42,0.0
41,Vibe Coding,Expert,High,45.2,4,6.8,8.4,93,20.3
42,Hardcoding,Intermediate,High,65.9,5,7.0,5.1,173,24.8
43,Vibe Coding,Intermediate,Medium,7.8,2,6.9,9.6,78,11.1
44,Hardcoding,Beginner,Low,39.2,3,7.0,6.1,48,4.0
45,Hardcoding,Intermediate,Medium,43.0,3,7.1,5.4,99,21.3
46,Hardcoding,Beginner,Medium,50.5,2,4.9,5.3,91,0.4
47,Vibe Coding,Beginner,Medium,43.7,4,6.1,7.5,38,21.5
48,Hardcoding,Intermediate,High,74.2,4,5.8,4.7,141,22.0
49,Vibe Coding,Beginner,Low,28.8,2,6.4,10.0,37,9.5
50,Vibe Coding,Intermediate,High,42.9,5,6.2,8.1,98,21.8
51,Vibe Coding,Beginner,Medium,41.8,3,5.6,10.0,70,14.0
52,Vibe Coding,Intermediate,Medium,28.9,4,6.8,7.2,89,20.8
53,Hardcoding,Intermediate,Medium,46.9,2,7.1,7.1,99,10.0
54,Vibe Coding,Beginner,Medium,32.0,1,4.6,5.4,72,7.8
55,Hardcoding,Beginner,High,86.0,3,6.3,6.9,105,15.4
56,Hardcoding,Beginner,High,73.8,8,6.1,8.2,166,44.2
57,Vibe Coding,Beginner,High,41.7,7,4.3,7.3,97,41.9
58,Vibe Coding,Beginner,Medium,33.7,4,4.9,7.9,58,20.1
59,Hardcoding,Intermediate,Medium,54.5,4,8.7,6.0,109,22.7
60,Hardcoding,Intermediate,Medium,45.1,1,5.7,7.0,79,11.6
61,Hardcoding,Beginner,Medium,54.9,2,5.2,6.7,88,19.0
62,Vibe Coding,Intermediate,High,46.7,7,8.0,8.5,86,35.6
63,Vibe Coding,Intermediate,Medium,25.3,6,5.9,6.8,52,27.6
64,Hardcoding,Intermediate,High,68.2,5,7.4,7.0,152,21.5
65,Hardcoding,Expert,Medium,42.5,4,9.6,5.7,113,19.4
66,Vibe Coding,Beginner,Medium,19.7,5,4.6,7.7,82,15.7
67,Vibe Coding,Beginner,Low,19.2,6,5.6,9.2,23,36.7
68,Vibe Coding,Beginner,Medium,37.8,8,6.3,7.4,62,43.8
69,Vibe Coding,Beginner,High,36.2,8,4.4,8.8,106,41.9
70,Hardcoding,Intermediate,Medium,40.9,2,7.6,8.1,102,11.8
71,Hardcoding,Beginner,Medium,54.1,5,6.9,6.1,94,17.4
72,Vibe Coding,Expert,High,42.3,8,7.3,6.6,71,34.8
73,Hardcoding,Intermediate,Low,39.2,3,9.6,6.5,80,19.9
74,Hardcoding,Intermediate,High,73.7,5,7.5,8.0,161,29.8
75,Hardcoding,Beginner,Low,41.5,2,7.3,6.0,99,3.4
76,Hardcoding,Intermediate,Medium,42.7,1,7.9,9.5,91,5.1
77,Hardcoding,Intermediate,High,63.9,3,9.7,5.4,138,21.1
78,Hardcoding,Intermediate,Medium,52.3,3,8.3,6.0,96,13.6
79,Vibe Coding,Beginner,Medium,28.1,1,6.1,7.7,32,4.9
80,Hardcoding,Expert,Low,38.4,1,9.1,6.6,86,6.1
81,Vibe Coding,Beginner,Medium,27.1,1,5.1,8.2,41,10.4
82,Hardcoding,Intermediate,Low,32.3,1,7.8,5.2,57,5.0
83,Vibe Coding,Beginner,Medium,51.8,6,5.6,6.2,84,26.9
84,Hardcoding,Beginner,Medium,59.8,3,6.6,6.9,103,13.2
85,Vibe Coding,Beginner,Medium,37.1,6,5.0,4.3,74,24.5
86,Vibe Coding,Beginner,Low,33.4,2,7.1,7.9,57,6.1
87,Hardcoding,Expert,Medium,24.6,2,6.8,6.5,90,12.2
88,Vibe Coding,Beginner,Low,20.5,7,6.8,7.0,16,39.9
89,Vibe Coding,Intermediate,Low,17.1,5,9.0,8.9,35,31.8
90,Hardcoding,Beginner,Low,39.7,3,6.9,6.6,81,20.2
91,Hardcoding,Beginner,Medium,59.3,4,6.9,5.9,108,19.5
92,Hardcoding,Beginner,Medium,45.9,4,7.7,9.1,113,20.8
93,Hardcoding,Expert,Low,22.3,0,8.7,8.0,87,6.9
94,Vibe Coding,Intermediate,Medium,26.9,1,6.7,6.2,38,13.9
95,Vibe Coding,Expert,Medium,27.5,3,8.7,6.0,57,19.1
96,Vibe Coding,Beginner,Medium,34.2,7,6.2,7.7,56,38.3
97,Vibe Coding,Beginner,Medium,38.6,6,6.9,7.7,52,31.9
98,Hardcoding,Expert,Low,25.6,2,10.0,7.3,50,12.6
99,Vibe Coding,Intermediate,High,37.7,5,5.0,8.3,117,28.4
100,Vibe Coding,Expert,High,18.9,4,6.4,8.9,83,20.8
101,Hardcoding,Beginner,Medium,57.3,1,5.6,5.9,92,3.3
102,Vibe Coding,Intermediate,Medium,28.4,1,7.3,7.5,61,0.0
103,Vibe Coding,Expert,Medium,33.2,1,7.8,10.0,61,13.7
104,Vibe Coding,Intermediate,Low,8.5,1,5.6,8.3,69,8.4
105,Hardcoding,Expert,High,51.2,2,8.8,7.6,130,10.1
106,Hardcoding,Beginner,Medium,79.9,3,6.6,4.9,108,12.8
107,Vibe Coding,Expert,Low,8.7,3,7.3,9.4,55,16.7
108,Hardcoding,Expert,Medium,43.5,0,6.9,9.5,81,0.0
109,Hardcoding,Expert,High,63.5,1,8.7,6.6,127,2.5
110,Vibe Coding,Intermediate,High,41.8,4,7.8,8.4,107,17.1
111,Hardcoding,Intermediate,Low,34.1,1,8.4,5.3,67,6.9
112,Vibe Coding,Beginner,Low,33.1,3,6.5,9.2,60,16.1
113,Hardcoding,Intermediate,Low,43.0,2,6.8,6.1,64,11.2
114,Hardcoding,Expert,Medium,43.9,0,10.0,7.4,105,2.7
115,Vibe Coding,Beginner,High,42.9,9,7.5,9.3,110,41.5
116,Vibe Coding,Intermediate,Medium,28.4,7,6.5,8.9,38,37.6
117,Vibe Coding,Intermediate,Low,13.9,3,7.8,4.8,15,14.3
118,Vibe Coding,Expert,High,34.3,1,8.5,7.7,102,5.4
119,Vibe Coding,Beginner,Low,21.9,4,6.0,7.5,54,16.0
120,Hardcoding,Beginner,High,75.3,3,5.4,6.3,110,14.1
121,Hardcoding,Beginner,High,97.8,3,7.6,5.7,103,13.7
122,Hardcoding,Expert,Medium,26.7,0,7.6,7.7,89,8.9
123,Vibe Coding,Intermediate,Medium,31.9,6,6.0,9.4,51,26.7
124,Hardcoding,Beginner,Low,46.5,2,7.2,7.3,56,8.9
125,Vibe Coding,Beginner,Medium,29.7,6,5.3,9.6,71,27.6
126,Hardcoding,Expert,High,52.3,3,8.0,9.3,130,15.3
127,Vibe Coding,Expert,Medium,29.5,3,7.0,7.6,67,13.6
128,Hardcoding,Intermediate,High,58.2,4,8.4,8.2,135,11.3
129,Vibe Coding,Intermediate,Medium,35.9,3,6.5,5.8,67,12.3
130,Hardcoding,Beginner,Low,37.2,3,5.8,4.8,77,15.8
131,Vibe Coding,Beginner,High,45.0,4,6.4,5.7,87,21.4
132,Vibe Coding,Expert,High,37.2,6,6.0,7.7,79,27.6
133,Vibe Coding,Intermediate,High,42.3,7,6.9,6.9,71,35.6
134,Hardcoding,Beginner,Medium,53.1,1,6.9,7.9,81,11.7
135,Hardcoding,Beginner,Medium,63.0,1,4.1,7.5,94,14.6
136,Hardcoding,Beginner,Medium,57.1,3,7.6,5.8,73,15.9
137,Vibe Coding,Expert,High,35.9,3,7.9,7.6,104,18.7
138,Hardcoding,Beginner,Low,39.6,6,6.7,4.8,49,24.2
139,Vibe Coding,Expert,Medium,32.8,2,7.0,7.1,54,9.2
140,Hardcoding,Beginner,Medium,63.8,2,5.6,6.4,117,9.0
141,Vibe Coding,Expert,Medium,36.8,1,7.3,6.5,51,1.8
142,Vibe Coding,Beginner,Low,18.8,1,4.7,6.2,32,4.4
143,Vibe Coding,Intermediate,Medium,18.7,8,7.4,7.8,66,38.1
144,Hardcoding,Expert,Medium,34.9,2,8.0,7.1,97,14.4
145,Hardcoding,Intermediate,Low,36.4,1,8.2,6.5,57,1.4
146,Vibe Coding,Beginner,High,31.6,6,5.0,7.7,74,28.5
147,Hardcoding,Intermediate,High,79.8,5,8.7,6.0,153,23.2
148,Hardcoding,Intermediate,Medium,44.5,2,7.6,6.6,73,15.9
149,Hardcoding,Intermediate,Medium,26.6,1,8.4,5.7,92,8.4
150,Hardcoding,Intermediate,High,70.4,6,6.8,7.6,155,28.4
151,Vibe Coding,Expert,Medium,18.4,4,6.5,8.3,52,21.8
152,Vibe Coding,Intermediate,Low,12.7,5,6.5,5.4,64,24.9
153,Hardcoding,Beginner,High,88.3,4,6.0,8.0,129,22.6
154,Vibe Coding,Expert,Medium,30.3,0,6.6,8.3,48,2.3
155,Hardcoding,Expert,Low,31.7,1,8.2,6.7,71,7.3
156,Hardcoding,Expert,Medium,44.2,4,9.0,8.3,91,19.5
157,Hardcoding,Beginner,Medium,58.4,1,7.5,5.1,105,9.2
158,Hardcoding,Intermediate,Medium,40.7,5,6.1,6.6,96,24.6
159,Hardcoding,Beginner,Medium,61.6,6,8.3,7.6,99,32.6
160,Hardcoding,Beginner,Low,40.4,3,7.0,5.6,78,21.1
161,Vibe Coding,Beginner,Medium,46.1,6,5.3,9.2,62,39.3
162,Hardcoding,Beginner,Low,58.4,2,5.7,7.6,70,12.2
163,Hardcoding,Intermediate,High,55.6,3,8.5,6.2,139,21.9
164,Hardcoding,Intermediate,Low,28.3,1,7.5,7.4,72,6.7
165,Hardcoding,Expert,High,52.4,2,8.7,9.4,161,5.7
166,Vibe Coding,Beginner,Medium,32.2,5,6.0,6.9,58,17.4
167,Vibe Coding,Expert,Medium,23.5,1,10.0,6.2,80,0.0
168,Vibe Coding,Beginner,High,48.9,12,6.3,9.1,65,56.5
169,Hardcoding,Beginner,Low,45.0,2,6.4,4.7,63,17.6
170,Vibe Coding,Beginner,Low,20.0,6,5.7,8.8,39,35.3
171,Hardcoding,Intermediate,Medium,44.4,3,8.1,5.7,126,9.1
172,Vibe Coding,Intermediate,High,37.6,10,7.3,6.7,99,45.8
173,Hardcoding,Intermediate,Low,29.5,0,8.0,9.2,63,0.6
174,Hardcoding,Expert,Medium,34.5,4,8.5,8.7,121,23.0
175,Hardcoding,Beginner,High,80.9,4,7.0,7.9,136,19.3
176,Vibe Coding,Expert,Medium,22.4,1,8.9,8.6,67,7.9
177,Hardcoding,Beginner,High,80.2,5,6.0,6.6,130,30.3
178,Vibe Coding,Beginner,Medium,27.6,5,6.5,8.2,62,27.0
179,Hardcoding,Beginner,Medium,42.4,1,6.7,8.1,74,9.2
180,Vibe Coding,Intermediate,Medium,22.1,4,6.8,6.7,76,27.1
181,Hardcoding,Intermediate,Medium,38.1,3,7.8,6.9,105,15.9
182,Vibe Coding,Beginner,Low,23.4,2,4.3,8.0,70,15.8
183,Vibe Coding,Intermediate,Medium,26.3,6,6.2,5.4,86,25.0
184,Hardcoding,Beginner,Low,45.3,2,7.6,7.7,71,15.3
185,Vibe Coding,Expert,Low,15.7,1,7.7,6.6,52,7.0
186,Hardcoding,Expert,Low,19.6,4,6.5,6.0,93,22.7
187,Hardcoding,Beginner,High,84.4,6,5.2,5.7,138,31.0
188,Hardcoding,Expert,High,51.4,5,8.3,6.7,177,18.5
189,Hardcoding,Beginner,Low,37.5,4,5.5,6.7,84,20.2
190,Vibe Coding,Beginner,High,48.2,10,6.2,7.6,113,45.9
191,Vibe Coding,Expert,Medium,22.2,2,7.8,4.9,56,9.3
192,Vibe Coding,Beginner,High,52.1,9,4.9,6.5,97,41.2
193,Hardcoding,Intermediate,High,63.8,3,6.9,6.1,150,17.6
194,Vibe Coding,Beginner,Low,18.5,2,3.1,8.5,47,11.7
195,Vibe Coding,Beginner,High,49.9,12,6.8,5.8,95,61.2
196,Vibe Coding,Expert,Medium,25.7,2,9.9,8.8,47,12.7
197,Vibe Coding,Intermediate,Medium,24.8,7,8.1,9.4,50,36.1
198,Vibe Coding,Intermediate,Medium,17.9,6,5.2,5.0,83,28.8
199,Hardcoding,Intermediate,Medium,49.6,4,7.4,7.7,98,23.8
200,Hardcoding,Beginner,Medium,53.5,3,5.5,5.6,100,14.6
201,Hardcoding,Expert,Low,23.0,2,10.0,5.8,83,8.7
202,Hardcoding,Intermediate,High,65.8,5,8.4,5.4,131,20.1
203,Vibe Coding,Beginner,Low,30.0,2,6.0,7.3,35,21.6
204,Hardcoding,Beginner,Low,30.0,0,7.5,6.0,73,12.9
205,Hardcoding,Intermediate,Low,26.3,3,6.7,6.1,66,15.9
206,Vibe Coding,Beginner,Low,21.2,0,6.1,7.9,56,9.7
207,Hardcoding,Beginner,Medium,47.1,0,6.6,5.5,94,0.0
208,Vibe Coding,Intermediate,Low,6.8,6,7.4,8.0,43,29.7
209,Vibe Coding,Beginner,High,53.6,4,7.8,7.2,93,23.1
210,Vibe Coding,Intermediate,Medium,29.8,3,7.0,7.1,64,24.8
211,Hardcoding,Intermediate,Medium,58.4,1,6.6,8.6,95,3.9
212,Hardcoding,Intermediate,High,58.5,6,7.0,8.6,105,41.6
213,Vibe Coding,Expert,Low,16.8,2,6.7,7.9,62,12.5
214,Vibe Coding,Intermediate,Low,17.6,4,5.4,7.1,26,26.3
215,Hardcoding,Beginner,Low,24.6,2,7.3,7.5,62,9.5
216,Hardcoding,Intermediate,High,64.5,5,9.2,5.5,125,19.5
217,Vibe Coding,Expert,Medium,17.6,3,7.1,4.4,36,19.5
218,Vibe Coding,Expert,High,32.6,5,7.8,8.3,73,23.9
219,Hardcoding,Intermediate,Low,27.3,1,7.2,5.7,83,6.5
220,Hardcoding,Beginner,High,77.3,7,7.9,6.5,142,34.5
